2JW4I2, P, 3, -5, -6, -5
T9RWJ7, P, 4, 5, -6, -5
2JW4I2, P, 3, -5, -6, -5
T9RWJ7, Y, 4, 2, -6, -5
2JW4I2, P, 3, -5, -6, -5
TTMKVO, G, 4, 6, -6, -5
2JW4I2, P, 3, -5, -6, -5
TTMKVO, P, 4, 5, -6, -5
2JW4I2, P, 3, -5, -6, -5
TTMKVO, R, 4, -5, -6, -5
2JW4I2, P, 3, -5, -6, -5
TTMKVO, Y, 4, 2, -6, -5
2JW4I2, P, 3, -5, -6, -5
Z9P4UM, B, 4, 2, -6, -5
2JW4I2, P, 3, -5, -6, -5
Z9P4UM, P, 4, 5, -6, -5
2JW4I2, P, 3, -5, -6, -5
Z9P4UM, R, 4, -5, -6, -5
2JW4I2, P, 3, -5, -6, -5
Z9P4UM, Y, 4, 2, -6, -5
2JW4I2, P, 3, -5, -6, -5
0IAHYC, B, 2, -5, -5, inf
2JW4I2, Y, 3, inf, -5, inf
0RHT6U, B, 4, 2, -5, inf
2JW4I2, Y, 3, 2, -5, 2
0RHT6U, G, 4, 6, -5, 2
2JW4I2, Y, 3, 2, -5, 2
0RHT6U, P, 4, 5, -5, 2
2JW4I2, Y, 3, 2, -5, 2
0RHT6U, R, 4, -5, -5, 2
2JW4I2, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
2QGPCU, G, 3, inf, -5, inf
2JW4I2, B, 4, -3, -5, inf
2QGPCU, G, 3, -3, -5, -3
2JW4I2, P, 4, 0, -5, -3
2QGPCU, G, 3, -3, -5, -3
2JW4I2, Y, 4, -3, -5, -3
2QGPCU, G, 3, -3, -5, -3
6FOGAR, G, 4, 1, -5, -3
2QGPCU, G, 3, -3, -5, -3
6FOGAR, P, 4, 0, -5, -3
2QGPCU, G, 3, -3, -5, -3
6FOGAR, R, 4, -10, -5, -3
2QGPCU, G, 3, -10, -5, -3
0IAHYC, B, 2, -5, -5, inf
2QGPCU, P, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
2QGPCU, P, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
2QGPCU, P, 3, 2, -5, 2
6FOGAR, G, 4, 6, -5, 2
2QGPCU, P, 3, 2, -5, 2
6FOGAR, P, 4, 5, -5, 2
2QGPCU, P, 3, 2, -5, 2
6FOGAR, R, 4, -5, -5, 2
